recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max
305ff00d1,14,1,49.856,3750.0,50.128,6468.75
644f71ae8,14,1,15.5787,2531.25,16.1653,5531.25
55648ef63,14,1,53.8773,2812.5,54.8,4406.25
774912d66,23,4,29.7215,6459.96,37.6454,11627.9
ecd47f7cc,23,1,17.1886,7235.16,23.2722,11283.4
6c032e356,23,1,51.6586,7235.16,57.7422,11283.4
ae4a3b1e2,12,1,41.424,562.5,44.56,3281.25
5cd1a3c29,12,1,42.7787,562.5,45.9147,3281.25
44c8b5c73,12,1,0.704,562.5,3.84,3281.25
5a55970ad,17,1,19.9787,1312.5,26.432,3937.5
4df50c66e,17,1,4.4853,1312.5,10.9387,3937.5
04d6b1fc1,17,4,4.7307,1406.25,7.3387,3937.5
4afa51495,10,1,49.4991,947.461,51.943,10852.7
4f6e4f097,10,1,20.4161,947.461,22.86,10852.7
3458e20b8,10,1,10.4432,947.461,12.8871,10852.7
25218b040,8,1,6.2827,3750.0,10.4053,5531.25
725c5b6f1,8,1,53.2587,3750.0,57.3813,5531.25
89898c3c9,8,1,38.9547,3750.0,43.0773,5531.25
e25933b0a,0,1,17.632,5906.25,18.4267,8250.0
00d442df7,0,1,19.3653,5906.25,20.16,8250.0
349095631,0,1,28.432,5906.25,29.2267,8250.0
a90c80393,18,1,26.2773,3187.5,26.9707,5062.5
10dae79ed,18,1,30.192,3187.5,30.8853,5062.5
b9f3581d5,18,1,58.5333,3187.5,59.2267,5062.5
f97ababc1,15,1,10.8853,93.75,14.2293,1125.0
d82d5792e,15,1,46.8053,93.75,50.1493,1125.0
43d34d63c,15,1,42.5707,93.75,45.9147,1125.0
d9a1b1ea9,1,1,38.592,3843.75,39.488,5625.0
d86155abb,1,1,5.1787,3843.75,6.0747,5625.0
7448edc55,1,1,20.16,3843.75,21.056,5625.0
1c46aa776,6,1,30.7307,562.5,32.8747,4406.25
0b3ef9c4e,6,1,44.3733,562.5,46.5173,4406.25
e1ef18eee,6,1,47.3653,562.5,49.5093,4406.25
87e518677,7,1,41.4933,4687.5,44.6347,11437.5
4b7da2fb5,7,1,11.36,4687.5,14.5013,11437.5
ce05b264d,7,1,49.936,4687.5,53.0773,11437.5
473cac467,11,1,9.0268,1808.79,10.1645,5684.77
e1582bf8b,11,1,56.6451,1808.79,57.7829,5684.77
1f2260885,11,1,7.0531,1808.79,8.1908,5684.77
dac0c6cb8,13,1,21.8133,93.75,22.4373,843.75
1520a52ef,13,1,6.496,93.75,7.12,843.75
682657006,13,1,15.3173,93.75,15.9413,843.75
a3d1e4f37,16,4,14.0107,3093.75,15.8453,4593.75
dcc4d4531,16,4,31.2373,3093.75,33.072,4593.75
17ca96791,16,4,13.632,3093.75,15.4667,4593.75
534db172e,19,1,36.4427,281.25,37.9947,2812.5
87bf9c992,19,1,46.3307,281.25,47.8827,2812.5
2d09eb065,19,1,45.5627,281.25,47.1147,2812.5
61f1c7d5f,3,1,47.6427,1031.25,48.384,2812.5
541550e6c,3,1,30.416,1031.25,31.1573,2812.5
929d655d3,3,1,52.56,1031.25,53.3013,2812.5
d2cb96229,2,1,22.224,468.75,24.0,3000.0
fd1970634,2,1,55.4987,468.75,57.2747,3000.0
b62b5a988,2,1,36.8053,468.75,38.5813,3000.0
d3713ed31,4,1,56.6133,2343.75,58.4693,4218.75
750e35881,4,1,51.056,2343.75,52.912,4218.75
ed36faac8,4,1,23.7013,2343.75,25.5573,4218.75
f9e724b46,22,1,16.0693,10687.5,17.6747,13687.5
184322f0e,22,1,54.8,10687.5,56.4053,13687.5
b3f517843,22,1,39.0027,10687.5,40.608,13687.5
3853bba8e,9,1,2.112,843.75,5.6747,5718.75
8fa859d45,9,1,15.9093,843.75,19.472,5718.75
9b92a698e,9,1,42.0693,843.75,45.632,5718.75
db86f881b,21,1,20.976,3281.25,22.0693,4125.0
5635d4cbe,21,1,24.112,3281.25,25.2053,4125.0
a6b4dda07,21,1,1.7867,3281.25,2.88,4125.0
70c289aa5,20,1,31.1307,2343.75,34.5707,5718.75
7b287d190,20,1,44.8107,1312.5,50.192,6093.75
bdacd5cd2,20,1,22.3467,1312.5,27.728,6093.75
8a59b5c31,5,1,30.1973,4781.25,32.5493,10406.2
59e549ee2,5,1,49.632,4781.25,51.984,10406.2
f87ef432d,5,1,17.5413,4781.25,19.8933,10406.2
